Timestamp,T,RH,AH,CO(GT),NO2(GT),Temperature_Anomaly,ML_Anomaly
2004-03-10 18:00:00,13.6,48.9,0.7578,2.6,113.0,False,False
2004-03-10 19:00:00,13.3,47.7,0.7255,2.0,92.0,False,False
2004-03-10 20:00:00,11.9,54.0,0.7502,2.2,114.0,False,False
2004-03-10 21:00:00,11.0,60.0,0.7867,2.2,122.0,False,False
2004-03-10 22:00:00,11.2,59.6,0.7888,1.6,116.0,False,False
2004-03-10 23:00:00,11.2,59.2,0.7848,1.2,96.0,False,False
2004-03-11 00:00:00,11.3,56.8,0.7603,1.2,77.0,False,False
2004-03-11 01:00:00,10.7,60.0,0.7702,1.0,76.0,False,False
2004-03-11 02:00:00,10.7,59.7,0.7648,0.9,60.0,False,False
2004-03-11 03:00:00,10.3,60.2,0.7517,0.6,,False,False
2004-03-11 04:00:00,10.1,60.5,0.7465,,34.0,False,False
2004-03-11 05:00:00,11.0,56.2,0.7366,0.7,28.0,False,False
2004-03-11 06:00:00,10.5,58.1,0.7353,0.7,48.0,False,False
2004-03-11 07:00:00,10.2,59.6,0.7417,1.1,82.0,False,False
2004-03-11 08:00:00,10.8,57.4,0.7408,2.0,112.0,False,False
2004-03-11 09:00:00,10.5,60.6,0.7691,2.2,101.0,False,False
2004-03-11 10:00:00,10.8,58.4,0.7552,1.7,98.0,False,False
2004-03-11 11:00:00,10.5,57.9,0.7352,1.5,92.0,False,False
2004-03-11 12:00:00,9.5,66.8,0.7951,1.6,95.0,False,False
2004-03-11 13:00:00,8.3,76.4,0.8393,1.9,112.0,False,False
2004-03-11 14:00:00,8.0,81.1,0.8736,2.9,128.0,False,False
2004-03-11 15:00:00,8.3,79.8,0.8778,2.2,126.0,False,False
2004-03-11 16:00:00,9.7,71.2,0.8569,2.2,131.0,False,False
2004-03-11 17:00:00,9.8,67.6,0.8185,2.9,135.0,False,False
2004-03-11 18:00:00,10.3,64.2,0.8065,4.8,151.0,False,False
2004-03-11 19:00:00,9.7,69.3,0.8319,6.9,172.0,False,False
2004-03-11 20:00:00,9.6,67.8,0.8133,6.1,165.0,False,False
2004-03-11 21:00:00,9.1,64.0,0.7419,3.9,136.0,False,False
2004-03-11 22:00:00,8.2,63.4,0.6905,1.5,85.0,False,False
2004-03-11 23:00:00,8.2,60.8,0.6657,1.0,53.0,False,False
2004-03-12 00:00:00,8.3,58.5,0.6438,1.7,97.0,False,False
2004-03-12 01:00:00,7.7,59.7,0.6308,1.9,110.0,False,False
2004-03-12 02:00:00,7.1,61.8,0.6276,1.4,91.0,False,False
2004-03-12 03:00:00,7.0,62.3,0.6261,0.8,,False,False
2004-03-12 04:00:00,6.1,65.9,0.6248,,32.0,False,False
2004-03-12 05:00:00,6.3,65.0,0.6233,0.6,44.0,False,False
2004-03-12 06:00:00,6.8,62.9,0.6234,0.8,71.0,False,False
2004-03-12 07:00:00,6.4,65.1,0.6316,1.4,104.0,False,False
2004-03-12 08:00:00,7.3,63.1,0.6499,4.4,141.0,False,False
2004-03-12 09:00:00,9.2,56.2,0.6561,,,False,False
2004-03-12 10:00:00,13.2,41.7,0.632,3.1,122.0,False,False
2004-03-12 11:00:00,14.3,38.4,0.6243,2.7,143.0,False,False
2004-03-12 12:00:00,15.0,36.5,0.6195,2.1,113.0,False,False
2004-03-12 13:00:00,16.1,34.5,0.6262,2.5,116.0,False,False
2004-03-12 14:00:00,16.3,35.7,0.656,2.7,123.0,False,False
2004-03-12 15:00:00,15.8,37.0,0.661,2.9,126.0,False,False
2004-03-12 16:00:00,15.9,37.2,0.6657,2.8,120.0,False,False
2004-03-12 17:00:00,16.9,34.3,0.6549,2.4,119.0,False,False
2004-03-12 18:00:00,15.1,39.6,0.6766,3.9,149.0,False,False
2004-03-12 19:00:00,14.4,43.4,0.7084,3.7,145.0,False,False
2004-03-12 20:00:00,12.9,50.5,0.7478,6.6,170.0,False,False
2004-03-12 21:00:00,12.1,53.3,0.7536,4.4,149.0,False,False
2004-03-12 22:00:00,11.0,59.1,0.774,3.5,139.0,False,False
2004-03-12 23:00:00,9.7,64.6,0.7771,5.4,134.0,False,False
2004-03-13 00:00:00,9.5,64.1,0.7597,2.7,113.0,False,False
2004-03-13 01:00:00,9.1,63.9,0.7423,1.9,97.0,False,False
2004-03-13 02:00:00,8.8,63.9,0.7256,1.6,82.0,False,False
2004-03-13 03:00:00,7.8,67.5,0.7173,1.7,,False,False
2004-03-13 04:00:00,7.0,71.1,0.7158,,83.0,False,False
2004-03-13 05:00:00,8.3,63.6,0.6982,1.0,65.0,False,False
2004-03-13 06:00:00,7.2,67.5,0.6887,1.2,60.0,False,False
2004-03-13 07:00:00,6.3,71.9,0.6932,1.5,77.0,False,False
2004-03-13 08:00:00,6.5,71.6,0.6945,2.7,96.0,False,False
2004-03-13 09:00:00,9.6,59.7,0.7124,3.7,119.0,False,False
2004-03-13 10:00:00,12.4,51.2,0.7335,3.2,126.0,False,False
2004-03-13 11:00:00,15.6,42.2,0.7451,4.1,158.0,False,False
2004-03-13 12:00:00,18.4,33.8,0.709,3.6,161.0,False,False
2004-03-13 13:00:00,19.4,31.3,0.695,2.8,124.0,False,False
2004-03-13 14:00:00,18.0,34.8,0.7127,2.0,102.0,False,False
2004-03-13 15:00:00,18.4,33.6,0.7042,2.0,116.0,False,False
2004-03-13 16:00:00,17.6,35.1,0.7012,2.5,124.0,False,False
2004-03-13 17:00:00,16.7,37.8,0.7117,2.3,125.0,False,False
2004-03-13 18:00:00,16.1,41.0,0.7451,3.2,148.0,False,False
2004-03-13 19:00:00,15.8,42.4,0.7569,4.2,165.0,False,False
2004-03-13 20:00:00,15.7,44.1,0.7786,4.2,161.0,False,False
2004-03-13 21:00:00,15.3,46.8,0.8091,4.2,159.0,False,False
2004-03-13 22:00:00,14.6,48.6,0.806,3.1,143.0,False,False
2004-03-13 23:00:00,14.7,49.3,0.8193,2.6,130.0,False,False
2004-03-14 00:00:00,13.9,53.6,0.8498,2.9,129.0,False,False
2004-03-14 01:00:00,14.6,51.5,0.8536,2.8,119.0,False,False
2004-03-14 02:00:00,12.5,58.9,0.8537,2.5,104.0,False,False
2004-03-14 03:00:00,11.6,63.4,0.8674,2.4,,False,False
2004-03-14 04:00:00,12.1,61.1,0.8603,,82.0,False,False
2004-03-14 05:00:00,11.5,63.1,0.8533,1.2,70.0,False,False
2004-03-14 06:00:00,11.6,62.2,0.8473,1.0,63.0,False,False
2004-03-14 07:00:00,10.4,67.6,0.853,0.9,67.0,False,False
2004-03-14 08:00:00,11.6,62.7,0.853,1.4,84.0,False,False
2004-03-14 09:00:00,12.4,60.0,0.8627,1.6,83.0,False,False
2004-03-14 10:00:00,14.5,53.1,0.8728,2.2,98.0,False,False
2004-03-14 11:00:00,16.9,46.1,0.8789,2.8,114.0,False,False
2004-03-14 12:00:00,19.3,38.3,0.8474,2.8,119.0,False,False
2004-03-14 13:00:00,21.2,31.4,0.7812,2.0,104.0,False,False
2004-03-14 14:00:00,21.4,30.2,0.7616,1.8,102.0,False,False
2004-03-14 15:00:00,21.9,29.0,0.7525,1.9,107.0,False,False
2004-03-14 16:00:00,22.2,28.4,0.7516,3.0,129.0,False,False
2004-03-14 17:00:00,21.3,30.8,0.7696,2.9,128.0,False,False
2004-03-14 18:00:00,19.7,36.7,0.8307,2.5,121.0,False,False
2004-03-14 19:00:00,18.4,41.7,0.8732,4.6,157.0,False,False
2004-03-14 20:00:00,17.6,46.1,0.921,5.9,173.0,False,False
2004-03-14 21:00:00,16.7,49.6,0.932,3.4,146.0,False,False
2004-03-14 22:00:00,16.3,51.0,0.9341,2.1,121.0,False,False
2004-03-14 23:00:00,14.7,55.9,0.9314,2.2,119.0,False,False
2004-03-15 00:00:00,14.8,54.7,0.9164,1.8,99.0,False,False
2004-03-15 01:00:00,14.0,57.0,0.9094,1.8,93.0,False,False
2004-03-15 02:00:00,13.4,61.3,0.9361,1.8,88.0,False,False
2004-03-15 03:00:00,12.6,63.5,0.923,1.1,,False,False
2004-03-15 04:00:00,12.3,65.4,0.9351,,71.0,False,False
2004-03-15 05:00:00,11.9,67.4,0.9375,1.0,74.0,False,False
2004-03-15 06:00:00,11.4,70.5,0.9475,1.4,80.0,False,False
2004-03-15 07:00:00,11.3,70.2,0.9401,2.2,89.0,False,False
2004-03-15 08:00:00,12.4,63.9,0.917,5.5,114.0,False,False
2004-03-15 09:00:00,14.8,54.3,0.9076,8.1,149.0,False,False
2004-03-15 10:00:00,17.4,45.6,0.8993,5.8,157.0,False,False
2004-03-15 11:00:00,19.8,38.5,0.8801,4.2,155.0,False,False
2004-03-15 12:00:00,22.0,34.1,0.8904,3.1,134.0,False,False
2004-03-15 13:00:00,23.3,32.2,0.9096,2.9,119.0,False,False
2004-03-15 14:00:00,23.9,30.0,0.8757,2.9,111.0,False,False
2004-03-15 15:00:00,24.4,28.9,0.8736,2.5,104.0,False,False
2004-03-15 16:00:00,24.4,29.4,0.8848,2.3,99.0,False,False
2004-03-15 17:00:00,23.8,31.3,0.9137,2.8,110.0,False,False
2004-03-15 18:00:00,22.5,35.4,0.9547,6.1,162.0,False,False
2004-03-15 19:00:00,20.4,42.5,1.0086,8.0,187.0,False,False
2004-03-15 20:00:00,18.3,52.6,1.0945,6.5,165.0,False,False
2004-03-15 21:00:00,16.7,57.4,1.0786,4.2,145.0,False,False
2004-03-15 22:00:00,15.7,60.2,1.0654,3.2,125.0,False,False
2004-03-15 23:00:00,15.3,61.4,1.058,1.4,101.0,False,False
2004-03-16 00:00:00,14.1,65.7,1.0494,2.1,103.0,False,False
2004-03-16 01:00:00,14.8,60.6,1.0148,1.2,88.0,False,False
2004-03-16 02:00:00,14.8,59.2,0.9879,0.8,61.0,False,False
2004-03-16 03:00:00,13.6,62.1,0.9636,0.7,,False,False
2004-03-16 04:00:00,12.3,66.2,0.945,,59.0,False,False
2004-03-16 05:00:00,12.8,63.2,0.9283,0.6,52.0,False,False
2004-03-16 06:00:00,11.2,68.5,0.9081,0.9,64.0,False,False
2004-03-16 07:00:00,11.0,66.5,0.8705,1.3,70.0,False,False
2004-03-16 08:00:00,11.7,63.7,0.8719,3.4,97.0,False,False
2004-03-16 09:00:00,13.6,56.3,0.8743,3.7,95.0,False,False
2004-03-16 10:00:00,17.8,42.9,0.8672,5.3,150.0,False,False
2004-03-16 11:00:00,21.4,33.3,0.8417,4.1,162.0,False,False
2004-03-16 12:00:00,24.4,27.4,0.8231,3.3,154.0,False,False
2004-03-16 13:00:00,25.3,26.1,0.8264,4.0,161.0,False,False
2004-03-16 14:00:00,25.8,23.2,0.7589,3.8,161.0,False,False
2004-03-16 15:00:00,27.0,20.2,0.7094,2.8,128.0,False,False
2004-03-16 16:00:00,28.2,18.6,0.7014,2.9,129.0,False,False
2004-03-16 17:00:00,28.0,19.1,0.7098,2.9,133.0,False,False
2004-03-16 18:00:00,23.9,25.7,0.7519,3.4,139.0,False,False
2004-03-16 19:00:00,21.3,34.8,0.873,3.9,137.0,False,False
2004-03-16 20:00:00,20.4,36.7,0.8704,3.2,143.0,False,False
2004-03-16 21:00:00,19.0,41.3,0.9007,5.1,177.0,False,False
2004-03-16 22:00:00,17.9,45.9,0.9342,2.6,138.0,False,False
2004-03-16 23:00:00,16.7,48.9,0.9226,1.7,117.0,False,False
2004-03-17 00:00:00,15.5,52.9,0.9271,1.7,107.0,False,False
2004-03-17 01:00:00,15.5,51.9,0.9059,1.2,90.0,False,False
2004-03-17 02:00:00,14.1,55.6,0.891,0.9,79.0,False,False
2004-03-17 03:00:00,13.1,57.9,0.8666,0.7,,False,False
2004-03-17 04:00:00,12.7,57.9,0.8447,,60.0,False,False
2004-03-17 05:00:00,11.8,58.0,0.8026,0.5,40.0,False,False
2004-03-17 06:00:00,11.9,57.4,0.7978,0.5,53.0,False,False
2004-03-17 07:00:00,9.9,65.2,0.7956,1.6,84.0,False,False
2004-03-17 08:00:00,11.1,60.2,0.7958,4.1,108.0,False,False
2004-03-17 09:00:00,14.1,50.0,0.802,6.6,127.0,False,False
2004-03-17 10:00:00,17.7,40.1,0.8048,4.3,134.0,False,False
2004-03-17 11:00:00,21.1,33.4,0.8265,2.9,135.0,False,False
2004-03-17 12:00:00,24.3,28.3,0.8471,2.5,142.0,False,False
2004-03-17 13:00:00,25.6,25.6,0.8254,2.8,153.0,False,False
2004-03-17 14:00:00,25.9,25.9,0.8503,2.6,123.0,False,False
2004-03-17 15:00:00,26.8,18.7,0.65,2.0,104.0,False,False
2004-03-17 16:00:00,29.3,15.8,0.6309,2.9,129.0,False,False
2004-03-17 17:00:00,28.5,14.9,0.5708,2.5,114.0,False,False
2004-03-17 18:00:00,25.9,16.0,0.5237,5.0,158.0,False,False
2004-03-17 19:00:00,23.1,26.5,0.7403,7.6,194.0,False,False
2004-03-17 20:00:00,20.5,38.2,0.9133,6.7,182.0,False,False
2004-03-17 21:00:00,19.1,42.6,0.9294,5.7,180.0,False,False
2004-03-17 22:00:00,17.2,44.1,0.8558,2.8,136.0,False,False
2004-03-17 23:00:00,16.0,50.9,0.9206,2.6,127.0,False,False
2004-03-18 00:00:00,14.8,53.9,0.9024,2.3,116.0,False,False
2004-03-18 01:00:00,14.3,55.4,0.8975,1.4,107.0,False,False
2004-03-18 02:00:00,14.8,52.1,0.8686,1.0,88.0,False,False
2004-03-18 03:00:00,13.9,53.9,0.8501,0.7,,False,False
2004-03-18 04:00:00,11.6,61.9,0.8442,,78.0,False,False
2004-03-18 05:00:00,12.0,58.9,0.8233,0.6,57.0,False,False
2004-03-18 06:00:00,10.9,62.1,0.8113,0.7,71.0,False,False
2004-03-18 07:00:00,10.6,63.3,0.8067,1.5,85.0,False,False
2004-03-18 08:00:00,11.5,60.0,0.8117,4.7,124.0,False,False
2004-03-18 09:00:00,14.3,50.6,0.8186,6.6,151.0,False,False
2004-03-18 10:00:00,17.8,40.5,0.821,4.5,150.0,False,False
2004-03-18 11:00:00,20.8,34.4,0.8365,2.8,152.0,False,False
2004-03-18 12:00:00,23.8,28.2,0.8219,2.2,139.0,False,False
2004-03-18 13:00:00,24.2,28.7,0.8515,2.2,133.0,False,False
2004-03-18 14:00:00,25.2,24.9,0.7829,2.3,126.0,False,False
2004-03-18 15:00:00,27.0,17.8,0.6275,2.2,128.0,False,False
2004-03-18 16:00:00,27.1,23.1,0.818,2.8,169.0,False,False
2004-03-18 17:00:00,25.8,23.9,0.7832,2.7,149.0,False,False
2004-03-18 18:00:00,23.0,26.8,0.7446,3.7,156.0,False,False
2004-03-18 19:00:00,20.7,31.1,0.7523,5.1,168.0,False,False
2004-03-18 20:00:00,18.6,36.2,0.7676,5.1,176.0,False,False
2004-03-18 21:00:00,16.0,48.4,0.8768,3.2,135.0,False,False
2004-03-18 22:00:00,14.5,57.8,0.9456,2.1,121.0,False,False
2004-03-18 23:00:00,13.1,64.2,0.9606,1.7,99.0,False,False
2004-03-19 00:00:00,12.0,69.7,0.9735,2.0,106.0,False,False
2004-03-19 01:00:00,11.9,71.1,0.9915,1.6,96.0,False,False
2004-03-19 02:00:00,12.5,69.3,1.0029,0.9,63.0,False,False
2004-03-19 03:00:00,12.5,67.5,0.9768,0.7,,False,False
2004-03-19 04:00:00,12.3,67.7,0.9665,,32.0,False,False
2004-03-19 05:00:00,12.5,66.8,0.962,0.5,28.0,False,False
2004-03-19 06:00:00,12.3,66.3,0.9487,0.7,61.0,False,False
2004-03-19 07:00:00,12.4,64.9,0.9332,1.5,99.0,False,False
2004-03-19 08:00:00,13.0,61.6,0.9209,4.8,157.0,False,False
2004-03-19 09:00:00,13.6,58.8,0.912,6.2,166.0,False,False
2004-03-19 10:00:00,13.9,57.1,0.9032,4.0,149.0,False,False
2004-03-19 11:00:00,14.5,54.4,0.8917,3.3,135.0,False,False
2004-03-19 12:00:00,15.5,50.1,0.8744,2.8,127.0,False,False
2004-03-19 13:00:00,16.1,47.6,0.8655,3.0,122.0,False,False
2004-03-19 14:00:00,16.3,47.1,0.864,3.3,135.0,False,False
2004-03-19 15:00:00,16.4,47.5,0.8791,3.5,139.0,False,False
2004-03-19 16:00:00,16.1,50.2,0.9094,4.0,147.0,False,False
2004-03-19 17:00:00,16.0,50.7,0.9142,4.6,158.0,False,False
2004-03-19 18:00:00,15.8,50.3,0.8989,4.1,146.0,False,False
2004-03-19 19:00:00,15.5,50.6,0.884,4.5,144.0,False,False
2004-03-19 20:00:00,15.4,51.4,0.8956,3.9,138.0,False,False
2004-03-19 21:00:00,15.2,53.1,0.9117,4.0,143.0,False,False
2004-03-19 22:00:00,14.7,57.6,0.9573,2.2,116.0,False,False
2004-03-19 23:00:00,14.2,58.3,0.938,2.1,109.0,False,False
2004-03-20 00:00:00,13.8,57.9,0.9085,1.7,92.0,False,False
2004-03-20 01:00:00,13.9,55.9,0.8842,1.6,83.0,False,False
2004-03-20 02:00:00,13.9,55.6,0.8765,1.3,81.0,False,False
